000000000000000000000000000000000000 -> 0000000
1-SA-0 @000000000000000000000000000000000000 -> 0000000
1-SA-1 @000000000000000000000000000000000000 -> 0000000
4-SA-0 @000000000000000000000000000000000000 -> 0000000
4-SA-1 @000000000000000000000000000000000000 -> 0000111
8-SA-0 @000000000000000000000000000000000000 -> 0000000
8-SA-1 @000000000000000000000000000000000000 -> 0000000
11-SA-0 @000000000000000000000000000000000000 -> 0000000
11-SA-1 @000000000000000000000000000000000000 -> 0000000
14-SA-0 @000000000000000000000000000000000000 -> 0000000
43-SA-0 @000000000000000000000000000000000000 -> 0000000
43-SA-1 @000000000000000000000000000000000000 -> 1011111
47-SA-0 @000000000000000000000000000000000000 -> 0000000
47-SA-1 @000000000000000000000000000000000000 -> 0000000
50-SA-0 @000000000000000000000000000000000000 -> 0000000
50-SA-1 @000000000000000000000000000000000000 -> 0000000
53-SA-0 @000000000000000000000000000000000000 -> 0000000
53-SA-1 @000000000000000000000000000000000000 -> 0000000
56-SA-0 @000000000000000000000000000000000000 -> 0000000
56-SA-1 @000000000000000000000000000000000000 -> 0011111
60-SA-0 @000000000000000000000000000000000000 -> 0000000
60-SA-1 @000000000000000000000000000000000000 -> 0000000
131-IN-43-SA-0 @000000000000000000000000000000000000 -> 0000000
131-IN-43-SA-1 @000000000000000000000000000000000000 -> 1011111
134-SA-0 @000000000000000000000000000000000000 -> 1011111
134-SA-1 @000000000000000000000000000000000000 -> 1011111
134-IN-50-SA-0 @000000000000000000000000000000000000 -> 0000000
134-IN-50-SA-1 @000000000000000000000000000000000000 -> 0000000
135-SA-0 @000000000000000000000000000000000000 -> 0000110
135-SA-1 @000000000000000000000000000000000000 -> 0000000
135-IN-56-SA-0 @000000000000000000000000000000000000 -> 0000000
135-IN-56-SA-1 @000000000000000000000000000000000000 -> 0011111
138-SA-0 @000000000000000000000000000000000000 -> 0011111
138-SA-1 @000000000000000000000000000000000000 -> 0011111
138-IN-63-SA-0 @000000000000000000000000000000000000 -> 0000000
138-IN-63-SA-1 @000000000000000000000000000000000000 -> 0000000
139-SA-0 @000000000000000000000000000000000000 -> 0000110
139-SA-1 @000000000000000000000000000000000000 -> 0000000
139-IN-69-SA-0 @000000000000000000000000000000000000 -> 0000000
139-IN-69-SA-1 @000000000000000000000000000000000000 -> 1101111
